Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_18_816.jpg;0;0;1;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_18_823.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_18_883.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_18_950.jpg;-2.016052;0;0;0;99.66999;85.58897;0.0002373708;56.58365;8.86082E-07
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_016.jpg;-5.997115;0;0;0;99.66999;85.58897;0.0002379551;55.62408;5.125983E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_083.jpg;-1.997467;0;0;0;99.66999;85.58897;0.0002383384;55.02326;7.566799E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_149.jpg;0;0;0;0;99.66999;85.58897;0.0002385409;55.02303;7.071615E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_216.jpg;0;0;0;0;99.66999;85.58897;0.0002378228;55.02303;6.509678E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_283.jpg;0;0;0;0;99.66999;85.58897;0.0002370511;55.02303;5.762997E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_349.jpg;0;0;0;0;99.66999;85.58897;0.0002359202;55.02303;4.735339E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_416.jpg;0;0;0;0;99.66999;85.58897;0.0002348431;55.02303;3.89243E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_482.jpg;0;0;0;0;99.66999;85.58897;0.0002338838;55.02303;3.030703E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_549.jpg;0;0;0;0;99.66999;85.58897;0.0002327906;55.02303;2.238693E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_616.jpg;-1.98779;0;0;0;99.66999;85.58897;0.000232083;54.78452;2.108392E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_683.jpg;-6.005625;0;0;0;99.66999;85.58897;0.0002321741;53.94424;4.464145E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_750.jpg;-10.02208;0;0;0;99.66999;85.58897;0.0002326605;51.77937;1.019089E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_816.jpg;-13.99164;0;0;0;99.66999;85.58897;0.0002327452;49.38016;1.723704E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_883.jpg;-15;0;0;0;99.66999;85.58897;0.0002328409;46.68018;2.472044E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_19_950.jpg;-15;0;0;0;99.66999;85.58897;0.0002318452;43.08022;3.27328E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_017.jpg;-15;0;0;0;99.66999;85.58897;0.0002322069;40.38025;3.738725E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_083.jpg;-15;0;0;0;99.66999;85.58897;0.0002330471;37.68028;4.098981E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_150.jpg;-15;0;0;0;99.66999;85.58897;0.0002343215;34.08033;4.403182E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_216.jpg;-15;0;0;0;99.66999;85.58897;0.0002354126;31.38034;4.520283E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_283.jpg;-15;0;0;0;99.66999;85.58897;0.0002364994;28.6804;4.590958E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_349.jpg;-15;0;0;0;99.66999;85.58897;0.0002381339;25.08049;4.446906E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_416.jpg;-15;0;0;0;99.66999;85.58897;0.0002411162;22.38051;4.253468E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_482.jpg;-15;0;0;0;99.66999;85.58897;0.000243499;19.68054;4.071385E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_550.jpg;-15;0;0;0;99.67001;85.58897;0.0002478321;16.08067;3.783009E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_617.jpg;-11.03024;0;0;0;99.67001;85.58897;0.0002511363;13.97574;3.361434E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_683.jpg;-7.011622;0;0;0;99.67001;85.58897;0.0002547197;12.47694;2.604641E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_749.jpg;-3.018671;0;0;0;99.67001;85.58897;0.0002584638;11.51428;1.241329E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_816.jpg;0.9881359;0;0;0;99.67001;85.58897;0.0002606017;11.57275;-1.681818E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_883.jpg;4.986724;0;0;0;99.67001;85.58897;0.0002609875;12.23149;-1.615622E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_20_950.jpg;8.985329;0;0;0;99.67001;85.58897;0.0002595173;14.14947;-3.752849E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_016.jpg;12.98863;0;0;0;99.67001;85.58897;0.0002573593;16.36828;-5.504561E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_083.jpg;15;0;0;0;99.67001;85.58897;0.0002525635;19.06833;-7.048022E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_150.jpg;15;0;0;0;99.67001;85.58897;0.0002461053;22.66837;-8.702115E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_217.jpg;15;0;0;0;99.67001;85.58897;0.0002419287;25.36839;-9.662272E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_283.jpg;15;0;0;0;99.67001;85.58897;0.0002368568;28.06837;-0.0001023148
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_349.jpg;15;0;0;0;99.67001;85.58897;0.000231444;31.6684;-0.0001065275
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_416.jpg;15;0;0;0;99.67001;85.58897;0.0002282846;34.36837;-0.0001067693
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_483.jpg;15;0;0;0;99.67001;85.58897;0.0002263444;37.06831;-0.0001045875
